,open,high,low,close,volume,datetime
0,55.29,55.4575,54.3175,54.34,123164028,1539579600000
1,54.7325,55.7475,54.190675,55.5375,116735852,1539666000000
2,55.575,55.66,54.835,55.2975,91541588,1539752400000
3,54.465,54.935,53.25,54.005,130325260,1539838800000
4,54.515,55.315,54.3575,54.8275,132314904,1539925200000
5,54.9475,55.84,54.735,55.1625,115168328,1540184400000
6,53.9575,55.8125,53.675,55.6825,155071384,1540270800000
7,55.65,56.0575,53.635,53.7725,163700652,1540357200000
8,54.4275,55.345,54.1875,54.95,119423072,1540443600000
9,53.975,55.0475,53.1675,54.075,189033500,1540530000000
10,54.7975,54.9225,51.5225,53.06,183742080,1540789200000
11,52.7875,53.795,52.3175,53.325,146639960,1540875600000
12,54.22,55.1125,54.155,54.715,153435732,1540962000000
13,54.7625,55.59,54.2025,55.555,233292720,1541048400000
14,52.3875,53.4125,51.3575,51.87,365159068,1541134800000
15,51.075,51.0975,49.5425,50.3975,264654676,1541397600000
16,50.48,51.18,50.4225,50.9425,127531524,1541484000000
17,51.4925,52.515,51.0325,52.4875,133697736,1541570400000
18,52.495,52.53,51.6875,52.1225,101450544,1541656800000
19,51.3875,51.5025,50.5625,51.1175,137463000,1541743200000
20,49.75,49.9625,48.4475,48.5425,204542072,1542002400000
21,47.9075,49.295,47.862525,48.0575,187531744,1542088800000
22,48.475,48.62,46.4825,46.7,243203828,1542175200000
23,47.0975,47.9925,46.725,47.8525,185915204,1542261600000
24,47.625,48.742375,47.365,48.3825,147713012,1542348000000
25,47.5,47.675,46.2475,46.465,167683488,1542607200000
26,44.5925,45.3675,43.8775,44.245,271300988,1542693600000
27,44.9325,45.0675,44.1375,44.195,124496840,1542780000000
28,43.735,44.14875,43.025,43.0725,94495888,1542952800000
29,43.56,43.7375,42.565,43.655,179994080,1543212000000
30,42.8775,43.6925,42.72,43.56,165549508,1543298400000
31,44.1825,45.3225,43.7325,45.235,184250156,1543384800000
32,45.665,45.7,44.425,44.8875,167079968,1543471200000
33,45.0725,45.0825,44.2575,44.645,158126196,1543557600000
34,46.115,46.235,45.3025,46.205,163192008,1543816800000
35,45.2375,45.597475,44.0675,44.1725,165377128,1543903200000
36,42.94,43.695,42.605,43.68,172393640,1544076000000
37,43.3725,43.6225,42.075,42.1225,169126524,1544162400000
38,41.25,42.5225,40.8325,42.4,248103976,1544421600000
39,42.915,42.9475,41.75,42.1575,189126660,1544508000000
40,42.6,42.98,42.255,42.275,142510696,1544594400000
41,42.6225,43.1425,42.3875,42.7375,127591308,1544680800000
42,42.25,42.27,41.32,41.37,162814840,1544767200000
43,41.3625,42.0875,40.6825,40.985,177151688,1545026400000
44,41.345,41.8825,41.0975,41.5175,135366072,1545112800000
45,41.5,41.8625,39.7725,40.2225,196189188,1545199200000
46,40.1,40.5275,38.825,39.2075,259091840,1545285600000
47,39.215,39.54,37.4075,37.6825,382977536,1545372000000
48,37.0375,37.8875,36.6475,36.7075,148676928,1545631200000
49,37.075,39.3075,36.68,39.2925,234330176,1545804000000
50,38.96,39.1925,37.5175,39.0375,212468260,1545890400000
51,39.375,39.63,38.6375,39.0575,169165696,1545976800000
52,39.6325,39.84,39.12,39.435,140013864,1546236000000
53,38.7225,39.7125,38.5575,39.48,148158948,1546408800000
54,35.995,36.43,35.5,35.5475,365248780,1546495200000
55,36.1325,37.137475,35.95,37.065,234428280,1546581600000
56,37.175,37.2075,36.475,36.9825,219111056,1546840800000
57,37.39,37.955,37.13,37.6875,164101256,1546927200000
58,37.8225,38.6325,37.4075,38.3275,180396324,1547013600000
59,38.125,38.4925,37.715,38.45,143122680,1547100000000
60,38.22,38.425,37.8775,38.0725,108092964,1547186400000
61,37.7125,37.8175,37.305,37.5,129756744,1547445600000
62,37.5675,38.3475,37.5125,38.2675,114841296,1547532000000
63,38.27,38.97,38.25,38.735,122278824,1547618400000
64,38.55,39.415,38.315,38.965,119284640,1547704800000
65,39.375,39.47,38.99515,39.205,135004092,1547791200000
66,39.1025,39.1825,38.155,38.325,121575880,1548136800000
67,38.5375,38.785,37.925,38.48,92522280,1548223200000
68,38.5275,38.62,37.935,38.175,101766196,1548309600000
69,38.87,39.5325,38.58,39.44,134191572,1548396000000
70,38.9475,39.0825,38.415,39.075,104768232,1548655200000
71,39.0625,39.5325,38.5275,38.67,166348956,1548741600000
72,40.8125,41.5375,40.0575,41.3125,244439120,1548828000000
73,41.5275,42.25,41.14,41.61,162958596,1548914400000
74,41.74,42.245,41.4825,41.63,130672552,1549000800000
75,41.8525,42.91375,41.82,42.8125,125982328,1549260000000
76,43.215,43.77,43.087525,43.545,144406512,1549346400000
77,43.6625,43.8925,43.213275,43.56,112958364,1549432800000
78,43.1,43.485,42.585,42.735,126966760,1549519200000
79,42.2475,42.665,42.105,42.6025,95279864,1549605600000
80,42.7625,42.8025,42.3125,42.3575,83973700,1549864800000
81,42.525,42.75,42.425,42.7225,89134092,1549951200000
82,42.8475,43.12,42.48,42.545,89960932,1550037600000
83,42.4275,42.815375,42.345,42.7,87342988,1550124000000
84,42.8125,42.925,42.4375,42.605,98507256,1550210400000
